query_id,target,size,control
q0000,0.22,10,2.2447967999999996
q0001,0.22,10,2.5647967999999994
q0002,0.22,10,2.8847967999999993
q0003,0.22,22,2.2447967999999996
q0004,0.22,22,2.5647967999999994
q0005,0.22,22,2.8847967999999993
q0006,0.22,28,2.2447967999999996
q0007,0.22,28,2.5647967999999994
q0008,0.22,28,2.8847967999999993
q0009,0.5,10,2.4300000000000002
q0010,0.5,10,2.75
q0011,0.5,10,3.0699999999999998
q0012,0.5,22,2.4300000000000002
q0013,0.5,22,2.75
q0014,0.5,22,3.0699999999999998
q0015,0.5,28,2.4300000000000002
q0016,0.5,28,2.75
q0017,0.5,28,3.0699999999999998
q0018,0.78000000000000003,10,2.4505632000000004
q0019,0.78000000000000003,10,2.7705632000000002
q0020,0.78000000000000003,10,3.0905632000000001
q0021,0.78000000000000003,22,2.4505632000000004
q0022,0.78000000000000003,22,2.7705632000000002
q0023,0.78000000000000003,22,3.0905632000000001
q0024,0.78000000000000003,28,2.4505632000000004
q0025,0.78000000000000003,28,2.7705632000000002
q0026,0.78000000000000003,28,3.0905632000000001
