i,j,value_real,value_imag
0,1,-0.98558476690956076,-0.16918234906699603
0,2,-0.20924183164548099,0.017828513388507366
0,38,0.04137810112350214,0.055345018729214032
0,109,-0.026629368918588109,-0.076049854646748058
0,110,0.090849591071736666,-0.042949673043268397
0,309,-0.20926328366037217,-0.017574928497112379
0,310,-0.98578911006265169,0.16798759026155852
1,2,-0.98537897573067101,-0.17037685930892649
1,3,-0.20923098818019595,0.017955321916877594
1,296,-0.034740991149251194,0.073857318486515403
1,310,-0.20925259825598694,-0.017701698311702499
2,3,-0.98517182170902928,-0.17157063184156168
2,4,-0.20922007233696313,0.018082072096856191
2,275,0.064112315763153807,-0.0098655081915655224
3,4,-0.98496339235630814,-0.17276317813108616
3,5,-0.20920908871618504,0.018208712160485314
3,81,-0.090205983400746065,-0.04234900554819751
3,121,-0.10571899720362136,-0.011591069964377657
3,168,-0.097886775743127638,0.073363047821779728
4,5,-0.98475377747162263,-0.17395401046072503
4,6,-0.20919804203971237,0.018335190393086245
4,100,-0.067495954485733575,0.050835347432250613
4,241,-0.087808107558251663,0.055362454322393798
5,6,-0.9845430690965199,-0.17514264213493305
5,7,-0.20918693714851858,0.018461455154503287
6,7,-0.98433136146617795,-0.17632858768260018
6,8,-0.20917577900017301,0.018587454900302385
6,35,0.080575039503826509,0.07372556865946138
6,172,-0.04429738238442385,0.010732384791437732
6,195,-0.060089931287994482,-0.039341500193949205
7,8,-0.98411875095685242,-0.17751136305917081
7,9,-0.20916457266611521,0.018713138202915217
7,145,-0.046895908884508564,-0.022011359842647293
8,9,-0.98390533602961916,-0.17869048584757441
8,10,-0.20915332332873199,0.018838453772719706
8,93,0.07367603761332607,-0.049904717588287892
9,10,-0.98369121717046704,-0.17986547545786827
9,11,-0.20914203627824032,0.018963350479047774
10,11,-0.98347649682679772,-0.18103585332549418
10,12,-0.20913071690937915,0.019087777371111374
10,80,-0.084420740253824622,0.027581405418999817
11,12,-0.98326127934039942,-0.18220114310805252
11,13,-0.2091193707179127,0.019211683698837877
12,13,-0.98304567087696604,-0.18336087088050076
12,14,-0.20910800329694962,0.019335018933605879
12,188,0.0057458232359517969,-0.023899303932275656
12,237,0.052804889947877201,0.074765418615629978
13,14,-0.98282977935223714,-0.18451456532868318
13,15,-0.20909662033308149,0.019457732788872691
13,292,0.072423366407797771,-0.038652895781369379
14,15,-0.98261371435484213,-0.18566175794110323
14,16,-0.20908522760234466,0.019579775240684764
15,16,-0.98239758706593738,-0.18680198319885119
15,17,-0.20907383096601045,0.019701096548062486
15,26,0.043973811258416498,-0.076344565654854826
16,17,-0.9821815101757293,-0.18793477876360151
16,18,-0.20906243636620814,0.019821647273250774
16,79,-0.054542707438111293,0.025158323908878177
16,113,-0.057243545852382595,-0.074594972046747282
17,18,-0.98196559779698045,-0.18905968566359868
17,19,-0.20905104982138553,0.019941378301827087
18,19,-0.98174996537560666,-0.19017624847755102
18,20,-0.20903967742161325,0.020060240862658511
18,89,-0.040325061993850525,0.067175863922513998
19,20,-0.98153472959846844,-0.19128401551635585
19,21,-0.20902832532373747,0.020178186547699751
19,301,0.030907135974573882,0.078648885900821433
20,21,-0.98132000829847554,-0.19238253900258179
20,22,-0.20901699974638757,0.020295167331623908
20,94,0.0019400891317258723,-0.079229882331393456
20,289,0.014130204369572061,0.057736301732361842
21,22,-0.98110592035711841,-0.19347137524763586
21,23,-0.20900570696484452,0.020411135591278058
21,257,0.045005129088498672,0.0041256055391934998
22,23,-0.98089258560455173,-0.19455008482654818
22,24,-0.20899445330577643,0.020526044124955827
22,256,0.084537824001138975,-0.03103831511643218
23,24,-0.98068012471735488,-0.19561823275030679
23,25,-0.20898324514184785,0.020639846171479185
23,28,0.055673836361788923,0.060920786200150019
24,25,-0.98046865911410142,-0.19667538863568079
24,26,-0.20897208888620969,0.020752495429081891
25,26,-0.98025831084887016,-0.19772112687247143
25,27,-0.20896099098687673,0.020863946074087088
25,124,0.10547598262816714,0.063419783018525064
25,147,-0.067307341443005916,-0.070381820508942913
26,27,-0.98004920250283767,-0.19875502678813403
26,28,-0.20894995792099974,0.020974152779371785
27,28,-0.97984145707409187,-0.19977667280971684
27,29,-0.2089389961890401,0.021083070732610919
27,69,0.069842529776759796,0.05705036515510066
27,206,-0.021861587028126087,-0.0045710722947645971
27,300,-0.097593319894527283,-0.079376755535575924
28,29,-0.97963519786581121,-0.20078565462306561
28,30,-0.20892811230885405,0.021190655654294028
29,30,-0.97943054837295784,-0.20178156732924596
29,31,-0.20891731280969444,0.021296863815507643
30,31,-0.97922763216763353,-0.20276401159813789
30,32,-0.20890660422613816,0.021401652055476478
31,32,-0.97902657278325023,-0.20373259381916098
31,33,-0.20889599309194676,0.021504977798856996
32,33,-0.97882749359767141,-0.20468692624909021
32,34,-0.20888548593386916,0.021606799072776718
32,209,-0.10331261256977055,0.073336262757968965
33,34,-0.97863051771547893,-0.20562662715692662
33,35,-0.208875089265394,0.021707074523613031
34,35,-0.97843576784952402,-0.20655132096578888
34,36,-0.20886480958046044,0.021805763433505265
35,36,-0.97824336620192254,-0.20746063839179546
35,37,-0.2088546533471361,0.021902825736594092
36,37,-0.97805343434465397,-0.20835421657990896
36,38,-0.20884462700127004,0.021998222034982272
36,212,0.070374216981375678,0.018097895403930059
36,216,-0.078784087127895336,0.079953556696875636
37,38,-0.97786609309992722,-0.20923169923671794
37,39,-0.20883473694013022,0.022091913614411131
37,105,0.0060261184956506425,-0.076241727069719295
38,39,-0.97768146242047438,-0.21009273676013318
38,40,-0.2088249895160334,0.022183862459647118
39,40,-0.97749966126993559,-0.21093698636597882
39,41,-0.2088153910299767,0.022274031269573086
40,41,-0.97732080750349926,-0.2117641122114606
40,42,-0.20880594772527952,0.022362383471979025
40,278,-0.1049814629711469,0.017211068190855189
41,42,-0.97714501774895812,-0.2125737855154966
41,43,-0.20879666578124403,0.022448883238047137
42,43,-0.97697240728834589,-0.21336568467589698
42,44,-0.20878755130684401,0.022533495496526321
42,84,0.092793431479344643,-0.058298733200982514
42,237,-0.00083585661058602212,-0.027137554467472055
42,259,0.030281726111094823,0.013542672122008548
43,44,-0.97680308994031639,-0.21413949538338342
43,45,-0.20877861033444967,0.022616185947591225
44,45,-0.97663717794342486,-0.21489491073243933
