bond_id,source_id,target_id,phi
b000,s000,s001,0.1645
b001,s000,s009,0.0
b002,s001,s002,0.1645
b003,s001,s010,0.0
b004,s002,s003,0.1645
b005,s002,s011,0.0
b006,s003,s004,0.1645
b007,s003,s012,0.0
b008,s004,s005,0.1645
b009,s004,s013,0.0
b010,s005,s006,0.1645
b011,s005,s014,0.0
b012,s006,s007,0.1645
b013,s006,s015,0.0
b014,s007,s008,0.1645
b015,s007,s016,0.0
b016,s008,s017,0.0
b017,s009,s010,0.1175
b018,s009,s018,0.0
b019,s010,s011,0.1175
b020,s010,s019,0.0
b021,s011,s012,0.1175
b022,s011,s020,0.0
b023,s012,s013,0.1175
b024,s012,s021,0.0
b025,s013,s014,0.1175
b026,s013,s022,0.0
b027,s014,s015,0.1175
b028,s014,s023,0.0
b029,s015,s016,0.1175
b030,s015,s024,0.0
b031,s016,s017,0.1175
b032,s016,s025,0.0
b033,s017,s026,0.0
b034,s018,s019,0.07050000000000001
b035,s018,s027,0.0
b036,s019,s020,0.07050000000000001
b037,s019,s028,0.0
b038,s020,s021,0.07050000000000001
b039,s020,s029,0.0
b040,s021,s022,0.07050000000000001
b041,s021,s030,0.0
b042,s022,s023,0.07050000000000001
b043,s022,s031,0.0
b044,s023,s024,0.07050000000000001
b045,s023,s032,0.0
b046,s024,s025,0.07050000000000001
b047,s024,s033,0.0
b048,s025,s026,0.07050000000000001
b049,s025,s034,0.0
b050,s026,s035,0.0
b051,s027,s028,0.0235
b052,s027,s036,0.0
b053,s028,s029,0.0235
b054,s028,s037,0.0
b055,s029,s030,0.0235
b056,s029,s038,0.0
b057,s030,s031,0.0235
b058,s030,s039,0.0
b059,s031,s032,0.0235
b060,s031,s040,0.0
b061,s032,s033,0.0235
b062,s032,s041,0.0
b063,s033,s034,0.0235
b064,s033,s042,0.0
b065,s034,s035,0.0235
b066,s034,s043,0.0
b067,s035,s044,0.0
b068,s036,s037,-0.0235
b069,s036,s045,0.0
b070,s037,s038,-0.0235
b071,s037,s046,0.0
b072,s038,s039,-0.0235
b073,s038,s047,0.0
b074,s039,s040,-0.0235
b075,s039,s048,0.0
b076,s040,s041,-0.0235
b077,s040,s049,0.0
b078,s041,s042,-0.0235
b079,s041,s050,0.0
b080,s042,s043,-0.0235
b081,s042,s051,0.0
b082,s043,s044,-0.0235
b083,s043,s052,0.0
b084,s044,s053,0.0
b085,s045,s046,-0.07050000000000001
b086,s045,s054,0.0
b087,s046,s047,-0.07050000000000001
b088,s046,s055,0.0
b089,s047,s048,-0.07050000000000001
b090,s047,s056,0.0
b091,s048,s049,-0.07050000000000001
b092,s048,s057,0.0
b093,s049,s050,-0.07050000000000001
b094,s049,s058,0.0
b095,s050,s051,-0.07050000000000001
b096,s050,s059,0.0
b097,s051,s052,-0.07050000000000001
b098,s051,s060,0.0
b099,s052,s053,-0.07050000000000001
b100,s052,s061,0.0
b101,s053,s062,0.0
b102,s054,s055,-0.1175
b103,s054,s063,0.0
b104,s055,s056,-0.1175
b105,s055,s064,0.0
b106,s056,s057,-0.1175
b107,s056,s065,0.0
b108,s057,s058,-0.1175
b109,s057,s066,0.0
b110,s058,s059,-0.1175
b111,s058,s067,0.0
b112,s059,s060,-0.1175
b113,s059,s068,0.0
b114,s060,s061,-0.1175
b115,s060,s069,0.0
b116,s061,s062,-0.1175
b117,s061,s070,0.0
b118,s062,s071,0.0
b119,s063,s064,-0.1645
b120,s064,s065,-0.1645
b121,s065,s066,-0.1645
b122,s066,s067,-0.1645
b123,s067,s068,-0.1645
b124,s068,s069,-0.1645
b125,s069,s070,-0.1645
b126,s070,s071,-0.1645
