realization_id,site_id,u,m_z
scalar_0,s000,-0.10446920271985011,0.12
scalar_0,s001,-0.078965960804376956,0.12
scalar_0,s002,-0.27537207010560855,0.12
scalar_0,s003,-0.088846328169907063,0.12
scalar_0,s004,-0.18980114764486958,0.12
scalar_0,s005,-0.37555638471686281,0.12
scalar_0,s006,-0.4001731921988439,0.12
scalar_0,s007,-0.074235139786626492,0.12
scalar_0,s008,-0.22908532239650051,0.12
scalar_0,s009,0.061444447571282257,0.12
scalar_0,s010,-0.12339371893405549,0.12
scalar_0,s011,-0.23698012314988862,0.12
scalar_0,s012,0.061914717176060119,0.12
scalar_0,s013,-0.063731093966953589,0.12
scalar_0,s014,0.057698661516240368,0.12
scalar_0,s015,0.16419040074467067,0.12
scalar_0,s016,0.35937857027239323,0.12
scalar_0,s017,-0.25086501118165183,0.12
scalar_0,s018,0.17935739675980383,0.12
scalar_0,s019,-0.10908702796564301,0.12
scalar_0,s020,0.099814434506135863,0.12
scalar_0,s021,-0.070381696243668468,0.12
scalar_0,s022,-0.32683743046091596,0.12
scalar_0,s023,0.12145971609894063,0.12
scalar_0,s024,-0.18304439766222355,0.12
scalar_0,s025,0.39078560987132455,0.12
scalar_0,s026,-0.096962092070102923,0.12
scalar_0,s027,0.4068012654740944,0.12
scalar_0,s028,-0.13586324679011708,0.12
scalar_0,s029,-0.24973703070371725,0.12
scalar_0,s030,0.17795393293219458,0.12
scalar_0,s031,-0.2846197233113632,0.12
scalar_0,s032,-0.20516502485753957,0.12
scalar_0,s033,-0.15815153345086536,0.12
scalar_0,s034,-0.05470954703144526,0.12
scalar_0,s035,-0.33717995825726377,0.12
scalar_0,s036,0.10681409948216231,0.12
scalar_0,s037,-0.11410709238895622,0.12
scalar_0,s038,0.13505742905310253,0.12
scalar_0,s039,0.17819807370593271,0.12
scalar_0,s040,0.050530688146933733,0.12
scalar_0,s041,-0.13625562722515783,0.12
scalar_0,s042,-0.091924375393331648,0.12
scalar_0,s043,0.34918837751608295,0.12
scalar_0,s044,0.25847047924229899,0.12
scalar_0,s045,0.3939885937871857,0.12
scalar_0,s046,-0.34944113604071364,0.12
scalar_0,s047,-0.091510201748093545,0.12
scalar_0,s048,0.12012985348682098,0.12
scalar_0,s049,-0.045056424615943613,0.12
scalar_0,s050,-0.35578284313607061,0.12
scalar_0,s051,0.12626980169527485,0.12
scalar_0,s052,0.29491573305983726,0.12
scalar_0,s053,-0.12962323357393912,0.12
scalar_0,s054,-0.02970888347651035,0.12
scalar_0,s055,-0.3746230816751312,0.12
scalar_0,s056,0.39791610118094961,0.12
scalar_0,s057,-0.30349875095996859,0.12
scalar_0,s058,-0.21572938094379349,0.12
scalar_0,s059,0.036471906825620182,0.12
scalar_0,s060,-0.16596129813175822,0.12
scalar_0,s061,0.11671668760861148,0.12
scalar_0,s062,0.21228466919894756,0.12
scalar_0,s063,-0.18914624961724105,0.12
scalar_0,s064,-0.31741366699292201,0.12
scalar_0,s065,-0.34258948025090297,0.12
scalar_0,s066,0.29768670056048846,0.12
scalar_0,s067,-0.38935726192866738,0.12
scalar_0,s068,0.21917812926929886,0.12
scalar_0,s069,0.34050179851997681,0.12
scalar_0,s070,0.15148430241168326,0.12
scalar_0,s071,0.27936164677242609,0.12
scalar_1,s000,0.075563504600169695,0.12
scalar_1,s001,0.37666775360214472,0.12
scalar_1,s002,-0.19066826275356949,0.12
scalar_1,s003,0.099299694280704009,0.12
scalar_1,s004,-0.18164127214347056,0.12
scalar_1,s005,0.25258335110351243,0.12
scalar_1,s006,-0.30074168354815745,0.12
scalar_1,s007,0.3915019419527615,0.12
